Lead I,Lead II,Lead III
1.1876579345116152,-2.247504501,-3.43526392
1.1617482043862823,-2.313019793,-3.474869781
1.2013122948156723,-2.253465813,-3.454847699
1.2645256855961027,-2.167843232,-3.432409307
1.2914096677732692,-2.130287828,-3.421773726
1.2525008700556692,-2.14504319,-3.397639616
1.2288867198259505,-2.162215338,-3.391192833
1.2302785273047077,-2.165131877,-3.395489611
1.2213439445325271,-2.197981968,-3.419396955
1.2179960660989928,-2.240873826,-3.458960463
1.1915409815677722,-2.221154386,-3.412787826
1.1824103473641754,-2.158679723,-3.341171701
1.2074329668776513,-2.110581832,-3.318131942
1.213382558709448,-2.096161024,-3.309643031
1.1855228120150303,-2.052404544,-3.237982055
1.1810290471968723,-2.067429543,-3.248535182
1.1837736718611107,-2.163659479,-3.347504922
1.185393930507144,-2.196306184,-3.38176289
1.1905388410461635,-2.158571909,-3.349172964
1.174762689717126,-2.115325346,-3.290160132
1.1916072077316378,-2.088550521,-3.280244616
1.233356058552233,-2.062862677,-3.296252452
1.2435457926729057,-2.021293652,-3.26486545
1.2450868795668455,-2.020115963,-3.265294455
1.2523127878947202,-2.041274791,-3.293679546
1.1710920906582012,-2.082193592,-3.25334677
1.114153214486211,-2.101188837,-3.215380495
1.1470785931624912,-2.086767287,-3.233905442
1.167697838039221,-2.060885423,-3.228675181
1.1885640493991816,-2.045466439,-3.234107475
1.2036805349930881,-2.028430965,-3.232213434
1.2019231459362618,-2.024627714,-3.226660979
1.1711338505921114,-2.048751988,-3.219941913
1.1618919407689774,-2.073998849,-3.235957843
1.1441084166815363,-2.109740362,-3.253946713
1.1196721653320039,-2.102765246,-3.222518034
1.1258708331859602,-2.058539162,-3.184457787
1.1372067394087813,-2.069205557,-3.206462765
1.1933715242032303,-2.102891343,-3.296355324
1.2053800026892605,-2.116004885,-3.321474907
1.1870814684716258,-2.14583453,-3.332986284
1.2143638141078836,-2.175738449,-3.390192955
1.2225876767089774,-2.206775038,-3.429451044
1.1795488104154013,-2.233264445,-3.412884095
1.1698944145344792,-2.234054601,-3.404039397
1.1964517813919855,-2.214564587,-3.411095645
1.1725369669905026,-2.224542124,-3.397151607
1.1598424691987899,-2.262490543,-3.422392331
